,neg_review_title
0,Surprising  mediocre response from my dogs
1,Didn't do the trick
2,Nutro Max Large Breed Adult Beef & Rice Dinner Chunks in Gravy
3,Not the Natural Balance roll of a few years ago
4,"Dog Liked It, But"
5,dented cans
6,Mixed review
7,"Not pleasant smelling, but dogs like it"
8,Dogs don't love it
9,Green cow tripe in beef broth
10,Venison & Salmon Stew
11,My dogs don't like it
12,Digestive issues
13,"UNFORTUNATELY, NOT FOR OUR DOODLES!"
14,Puppy won't eat it
15,Wild Calling can food
16,Case of 6 not 12!
17,Puppy won't eat this.
18,Wish this had worked for me
19,fogs hated it
20,crushed cans
21,it's okay
22,Average
23,Great food Poor packaging
24,"Looked good, but my dog didn't like it"
25,did not like
26,Too much fat content
27,Too Dry
28,So disappointed...
29,product not that successful
30,Will not buy again
31,To my surprise
32,Not buying again
33,Good if used sparingly
34,My 2 dogs didn't like it
35,It's ok
36,While I normally love Nature's Variety products....
37,Looks like paste
38,The product was recommended to replace another canned food that is out-of-production now.
39,Chewy great - dog hates what I ordered
40,Product was good
41,OK but not great
42,Thought it would be better
43,Picky Dogs
44,Finicky Chi's
45,Dog food likeaility
46,Strange....
47,No Repeat Purchase
48,Dogs Liked the Taste
49,Meat appears gray
50,Disappointed
51,Wasn't my dog's favorite
52,my dogs dint like it they love the while chicken thigh one!
53,Total waste of money
54,Not as expected.
55,Don't expect cans to be intact
56,Hard time getting my dog to eat this
57,Would love to give this 5 stars but quality is VERY inconsistent!
58,Whole chicken bone in can.
59,Good Quailty
60,Dog will eat it
61,Very gravey-filled
62,Not so great.
63,Cesar dog food products
64,Most dogs will like this
65,Well...........
66,inconvenient; fatty
67,Not chunks in gravy
68,Contents are good
69,Picky
70,1/2 the case of canned food was significantly dented
71,average features
72,Turkey Day Feast
73,Not So Sure About This Stuff
74,My dogs hate the food
75,Seems to be good quality food.
76,Has Carrageenan in it
77,Change in ingredient!
78,New item for my dog
79,One time purchase
80,New customer
81,My dogs don't like the beef and liver of Newman's Own.
82,DOGGIES LIKE IT
83,dogs said no!
84,Real chicken
85,My dog is not impressed.
86,Fishy smell
87,Don't be fooled.
88,"Too much gravy, not much substance."
89,Dogs won't touch the food
90,50/50
91,Horrible food
92,Dog does not like this food
93,Not sure yet...
94,Small list of ingredients
95,Rejected by my dogs
96,Dog who eats everything wouldn't touch this
97,"Pups like it, but cans are all bent"
98,Picky critter . . .
99,My dog My refuses to eat them
100,My dog would not touch this food!
101,CAUSED DIARRHEA
102,Didnt like it
103,Grain-free is way too crumbly
104,Product looks great but not my dogs favorite
105,Great quality dog food. Two dented cans
106,MADE MY DOG SICK
107,EXPENSIVE
108,Product smelled too much like oatmeal
109,My puppy doesn't like it
110,Dogs won't eat it.
111,NOT BPA-free
112,like the delivery
113,expensive for what you get
114,"My dog loved it, BUT..."
115,Stew is for people
116,Spoiled contents
117,waste of money
118,She Won't eat it.
119,"Recommend Blue Wilderness, not Trout & Chicken Grill"
120,pups dont like it
121,Earthborn Tukey dinner grain free
122,Would not eat!
123,Merrick Diet Moist Canned Dog Food
124,"Recipe Change, Price Increase"
125,"seems good, but overpriced"
126,My newly diabetic dog won't eat this flavor. He is picky now. My other 2 will eat it. The fish smell stinks so bad.
127,Batch Inconsistencies
128,Not a favorite
129,Won't eat without a lot of coaxing on my part
130,Either one of my little girls likes this one
131,Mick - my pet doesn't like these meals
132,MADE IN THAILAND
133,Organix from 5 stars to 1 star
134,So-So
135,Small cans produced somewhere else?
136,Not what I expected
137,My doberman likes it but gotten very fatty. Recommend yes and no.
138,Dog doesn't like it
139,Not well liked by my seniors
140,Nutro adult kitchen dog food
141,OK at first
142,Seconds???
143,Picker Eater
144,Not so much
145,Not the best option from Wellness
146,dog food
147,"It's okay, but not filling"
148,Maybe not tasty
149,O.K. Product
150,Dog does not like the taste
151,Merrick Duck
152,Cats dont like it
153,Not his favorite!
154,20% of can is solid fat
155,Not for my puppy
156,Not a great product for us!
157,Trout and Salmon Wet food rating.
158,My dog will not eat it
159,Unsure why he no longer wants to eat it
160,Not enough substance
161,easy to open
162,Terrible can
163,Nope...good start but
164,Not for my puppies
165,not his fav
166,I made a mistake
167,Too hard once in the refrigerator
168,Noir a fan.
169,Unsatisfactory
170,Difficult to use
171,Duck in gravy
172,WHITE & BLACK MOLD SUBSTANCE IN CANS
173,Too much of this Dog Food.
174,Grammy's Pot Pie
175,It's not a winner
176,Smells Like POOP!!
177,What happened to quality?
178,my old man likes it!
179,Good deal but!
180,No Thanks Healthy Cuisine
181,New dog food.
182,Dog wouldn't eat
183,My dog said absolutely not!
184,This products is sold focused on MATURE dogs
185,Disappointed
186,Mighty dog
187,Foods Good When?
188,Don't know why they don't like it
189,Thank heavens!
190,Not so much!
191,Sounded like a solution for our overweight dog.
192,wet dog food
193,Not as good as I expected.
194,Not for my dogs
195,Several dented cans
196,Puppy did not like it
197,My girl stopped liking this after 3 days
198,Not too popular with Shih tzu puppies
199,My fur babies did not like
200,Too much gravy
201,DO NOT feed this to your cats!
202,Picky eater
203,Royal Canin Satiety
204,"OK for dog, not for me"
205,My Dogs Won't Eat It
206,Just because they'll eat it... doesn't mean they should
207,Perfect for strays
208,DOGS SAY YUCK !
209,Dog won't eat!
210,Not made in USA
211,Who uses the can opener anymore!
212,"This food is very dry, not moist."
213,Didnt like it
214,Other quality wet foods are cheaper
215,Dogs do not like
216,Negative results
217,Not his favorite soft food
218,Not what I was getting....
219,Greasy food
220,English Bulldog doesn't like it
221,Was good
222,Didn't Digest Well for my Dogs
223,Too dry for my dog
224,Just Alright
225,Shockingly disappointed
226,Both dogs won't go near it
227,Ideas for S/D food
228,She hates it a
229,Not a favorite
230,Bella Dog Food
231,Good product (in the past) but now quality inconsistent and dented cans
232,Large chucks of meat and gravy
233,Great quality
234,a little less processed  would be nice
235,No stars
236,No one will touch it!
237,Not for cats
238,Food texture not consistent from top to bottom of can.
239,"The dogs like it, but...."
240,My Girls Don't Like It ...
241,Disappointed with new ingredient
242,Natural Balance
243,its ok
244,Not Good None liked it
245,By-products
246,Cans dented
247,Picky eaters
248,doesn't smell appetizing
249,Wish there was more value
250,Product is good nutrition but not texture
251,not a winner
252,Not worth the money
253,Dented cans
254,Dogs Wouldn't Touch
255,Good Service
256,Why does a product need potatoes AND dehydrated potatoes ?
257,"Dog likes it, i dont."
258,Reformulated disaster
259,My Dogs too Picky for this One
260,To much gravy
261,"Dogs love it, but it has a 16th of an inch of jelly all around it that I have to scrape off, that I'm paying for."
262,Not overly enthusiastic
263,Okay if Dog not picky
264,Disappointed in pricing
265,dogs don't like
266,Pets don't like it.
267,Contains a lot of water
268,Not Good! Dogs won't eat it!
269,Not for My Pup!
270,Disappointed
271,"Good product, but my dog doesn't like it."
272,Nah........
273,My dogs didn't care for it.
274,Dogs refuse to eat it.
275,Nutro beef and potato
276,I have a very Picky dog
277,Dog doesn't like new formula
278,Hardy's beef grillers
279,Something is lacking
280,"Selected the wrong canine food, once again!"
281,Stinky farts
282,Dogs refused to eat it & I had to get rid of it.
283,Product is good
284,Not a good choice for Senior Dog
285,Dented cans
286,Can conditions
287,Rachael Ray Nutrish Natural Chicken Muttballs with Pasta Natural Wet Dog Food
288,Not the same!
289,'sbeen changed
290,My dogs don't particularly like this one
291,My dog does not like it at all She has been going to poop several times a day very loose
292,Chicken? Or not!
293,weight management
294,"Apparently, no flavor"
295,My dogs have been eating blue buffalo for a long time.
296,My dog hates this
297,Willow says it's ok
298,For a pickey eater!
299,Blue's Irish lamb stew
300,If your dog needs cream food...
301,Really tasty
302,Not so much
303,seen better!
304,Product texture and taste varies from prior cans.  Dog will not eat
305,Science Diet Beef and Barley Entree canned
306,this product is nice but my dog likes a variety of flavors.
307,Royal canin renal support
308,My dogs hate this!
309,"Food was fine, every can in the case was severely dented"
310,Good But Too Pricey
311,Does the job
312,Good Product Bad Food Form
313,weight loss?
314,Tasteless recipe
315,Can do better
316,New recipe
317,Hates this stuff
318,the food is stiff and not smooth at all
319,Sounds Good ! Dog won't touch!
320,My dog loves it!!!
321,use as backup food
322,Natural products review
323,Dog not a fan
324,Poochie NO likie
325,Picky Chihuahua's
326,"Very VERY bad smelling, Chicken version BAD, turkey excellent"
327,Just ok
328,not so much
329,You have to look at ingredients
330,Dog refuses to eat it
331,smelled terrible
332,Dog food disappointed
333,Contains barley
334,DOG and Cesar don't mix
335,canned food w/o wheat or grains
336,Picky eater will not eat
337,Not like the other Weight Management canned dog food
338,My dog is AFRAID of coming near to this food
339,TERRIBLE but dogs like it
340,Special diet.
341,First time bought
342,Not what I expected
343,Zoe not liking Beniful veriety pack wet food
344,damaged cans
345,Dogs arent crazy about it
346,Congealed really?
347,Good Brand but dogs wouldnt eat it
348,So disappointed Hills!
349,Boxer Dogs not happy!
350,Came with Dented Cans
351,"Excellent Product, but ...."
352,Didn't work for my fuzzy family
353,We've had better
354,Wellness core canned food
355,44/48 moldy cans of food
356,It is not a chunky type of food
357,Shih tzu Puppies are not impressed
358,Short Changed
359,"Good,high calorie food"
360,Dog food for picky eater
361,Picky Dog Won't Touch It
362,The food I normally order is out of stock
363,Another food she won't eat
364,Produced to Appeal to the Human Eye
365,My puppy don't want to eat this
366,Overly picky?
367,They weren't crazy for it
368,4 Dogs
369,Bought case every single can big dents but 2
370,"Not the best, not the worst"
371,Sounded Great
372,"Good, but cans are soo hard to open"
373,"Dog loves food, shipping could be better"
374,This product as well as the blue buffalo wilderness
375,Foul body odor
376,Dogs loved it but their Stomachs didnt
377,Nothing special
378,My picky eater does not like this!
379,Usually love Chewy but was very disappointed
380,Decent foood but...
381,weight management
382,My dogs...
383,One of mine doesn't like 'chunks'
384,Wish their were more assortments available.
385,Good but not a favorite
386,thought he would like it
387,Good But Too Pricey
388,Badly dented cans
389,Difficult and messy
390,We're trying product
391,Disappointed
392,This item meets the standard it sets for itself.
393,Fussy Dogs
394,Smells good...looks good to me
395,Not a hit with my dog
396,the dogs love the taste
397,Hills ID low fat chicken stew
398,Pups review
399,Nature's Recipe
400,Good for gravy
401,Good Value
402,Dog won't eat this food
403,Horrible food
404,disappointed
405,NAtural balAnce
406,Didn't like
407,My dogs are okay with this but not thrilled
408,Dog does not like it.
409,My cat loves it!
410,Great food
411,So So not the best
412,"Dogs like it, but smells gamy."
413,It's good for cheap dog food
414,New user
415,"a lot of meat, gravy, potatoes, 5 peas"
416,Will not buy again
417,dog food regular purchase
418,Didn't go over any better than any other canned food
419,"""New and Improved"" My dog hates it!"
420,Bland but good
421,"So fAR, SO GOOD"
422,Pricey but Dissapointing
423,"He likes it, he really likes it; but ..."
424,Pro Plan Savor Canned food for my Papillion dog
425,not a fan boy
426,Blue Buffalo beef dinner
427,This is the 3rd time my package was delivered to the wrong address
428,very watery making dogs face sloppy
429,Dog won't eat it
430,Our picky Teddybear apparently does not like this.
431,Product/shipping
432,Might be good
433,"Too much gravy, not enough food"
434,Arrived Damaged
435,Dog turned up nose
436,Never again
437,Dissatisfied
438,Wish he liked it....
439,This food is made with chicken & pork by products.
440,Strange gel substance
441,Dog wont eat it
442,Dog got tire of the food and would not eat.
443,Not a substitute for Royal Canine.
444,Watery Contents- ID Chichen Stew
445,pups weren't a fan
446,Not what I expected
447,Turkey flavor food
448,"Sadly, my dog did not like it."
449,Caused severe diarrhea
450,Good Food
451,Decent stuff
452,mushy
453,PUPPY NOT IN LOVE
454,Don't bother
455,Just a sniff
456,My name Juanita
457,Dog didn't like
458,Chewy's info doesn't match product's website
459,What changed?
460,"Great brand, but this was not the best"
461,This product my son’s dog loves!
462,Dog didn't like
463,disappointment
464,To Good To Be True
465,Cat doesn't like it
466,CHANGED IT!
467,"Great quailty but, my babies won't eat it."
468,My Chihuahuas wouldn't touch it and I bought the turkey bacon and pork. I'll be donating this dog food to a shelter.
469,NO I DO NOT RECOMMEND THIS DOG FOOD !
470,Dog didn't like.
471,Seems too bland
472,"First, check with your dog"
473,Not what I expected
474,Bad Formula Change
475,Stinky Food!
476,What to do with this big bag????
477,My dogs are just too picky
478,Not too tasty!
479,cats hated it
480,I want to love it...
481,It is  so so
482,"The Picky one likes it, the other doesn't."
483,Good Limited Food
484,it did not have great features
485,Cat won't eat it.
486,Too rich
487,"Confused, the listed ingredients on the website are different than on the can"
488,Rusty cans? No way!
489,No pull off lid
490,Arrived dented
491,"Great food, terrible packaging condition"
492,They eat it. Can not say they love it.
493,Not one bite
494,Will not buy again
495,Was great at first!
496,Soupy consistency
497,Not the best we've tried.
498,Dog used to like it. Now won't touch it.
499,Is it chunky? Kind of...
500,Too Many Recalls
501,"Dogs 4.0, Mom 3.0"
502,tripett canned dog food
503,DOGS say Thumbs Down
504,Beware New Packaging
505,I and love and you canned dog food
506,Was not impressed
507,Really stinky and dog didn't like
508,She does not like it
509,Meh quality
510,Canned dog food
511,Look at the Ingredients
512,Thailand not mentioned
513,"Product is above average, but..."
514,OK - BIG sausage chunks
515,Healthy Food:
516,no the best
517,Unfortunately not liked
518,expensive
519,LAMB is not first ingredient
520,little to no meat/turkey
521,Ms Picky Eater
522,my dog tanner dose not like it
523,Half liquid gravy other half mush
524,Veggies to Big
525,My dog won't touch it
526,Used as a training reward
527,Nature's Logic Sardine Recipe Canned Dog Food
528,Not with those ingredients
529,Across-the-Board Disgusting
530,Loaded with oil
531,Not the Same! My Dogs no longer like it!
532,Disgusting Odor to this food!
533,Ingredients have changed
534,high salt
535,This product looks good enough to eat
536,Dog wouldn't touch it
537,"Mostly Water, hardly any meat"
538,watery as diarrhea
539,Great food but too dry
540,I really wanted my pets to like it.
541,Didn't Work Out For Us
542,Not working out for my dogs!
543,My dog refused to eat it
544,It's okay but not my dog's favorite.
545,I like this brand but
546,One out of two dogs like it
547,Not so happy
548,He did eat it
549,Diarrhea Issues
550,The beware review below is right
551,Good canned food for specific need(s)
552,wet food
553,My dog doesn't like it
554,I love the ingredients list- They don't like it at all.
555,Not for my dogs
556,Have only been using 3 weeks
557,Good in Theory
558,the runs
559,half empty can
560,"Rio isn't crazy about this. Also, calcium questions for large breed puppies . . ."
561,Runny and all water
562,won't eat it.
563,Cats didn't like it
564,It's very smell
565,Dogs didn't care for it
566,"Good for dogs, but not for cats"
567,Nothing A Matter With The Product...But My Dog Wouldnt Touch It!
568,Food is fine but dog like other canned better
569,A Questionable Ingredient!
570,Cats Won't Even Taste It
571,too much fat
572,If you can afford it!
573,NOT A WINNER WITH HARPER AND REAGAN!
574,Dog food picky dog
575,Quality ingredients
576,Centers are a hit
577,Mushy texture
578,satisfied but hard to adjust
579,Severely damaged cans
580,Not right food
581,My dog wont eat it
582,Quality Control
583,Pourable dog food
584,More like soup
