product,description,highlights,price,analysis,specification,company
"BLUE Wilderness® Adult Dog Food - Grain Free, Natural","<p>
<b>Food Type:</b> Wet Food<br>
<b>Life Stage:</b> Adult<br>
<b>Health Consideration:</b> General Health<br>
<b>Flavor:</b> Turkey &amp; Chicken Grill<br>
<b>Primary Ingredient:</b> Turkey<br>
<b>Nutrition Option:</b> Natural, Grain Free<br>
<b>Calories per Serving:</b> 502 calories per cup<br>
<b>Package Weight:</b> 12.5 oz<br>
</p>","
Ideal for dogs with high activity levels, Wilderness provides the optimal balance of protein, fats and healthy complex carbohydrates. Made with high quality ingredients including generous amounts of tasty and nutritious turkey and chicken to supply the protein needed for your dog's active lifestyle. Wilderness is a sensible alternative to raw diets. Wilderness contains no chicken or poultry by-product meal, artificial preservatives, corn, wheat or soy. Delicious Turkey & Chicken Grill formula.
",$2.17,"<p><b>Ingredients:</b>
<br>Turkey, Chicken, Chicken Broth, Potato Flour, Cassia Gum, Dicalcium Phosphate, Flaxseed (natural source of Omega 3 and 6 Fatty Acids), Salt, Carrageenan, Guar Gum, Potassium Chloride, Vitamin A Supplement, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Niacin (Vitamin B3), d-Calcium Pantothenate (Vitamin B5), Pyridoxine Hydrochloride (Vitamin B6), Biotin (Vitamin B7), Folic Acid (Vitamin B9), Vitamin B12 Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Calcium Iodate, Choline Chloride
</p>","<p><b>Directions:</b>
<br>Feed 1 can for every 20 lbs of body weight
<br>When transiting to Blue start by mixing 1/4 can of Blue with your dog's old food,and gradually increase the proportion of Blue over the next 14 days.0
</p>", Blue Buffalo 
Hill's® Science Diet® Mature Adult Dog Food - Savory Stew,"<p>
<b>Food Type:</b> Wet Food
<br><b>Food Consistency:</b> Stew
<br><b>Life Stage:</b> Senior 7+ yrs
<br><b>Health Consideration:</b> General Health
<br><b>Flavor:</b> Chicken &amp; Vegetable
<br><b>Primary Ingredient:</b> Water
<br><b>Package Weight:</b> 12.8 oz
</p>","
Give your dog a tasty and healthy meal with this dog food that features real meat, brown rice and vegetables in a hearty gravy. Designed to keep your dog in top shape, the food promotes healthy digestion and offers wholesome nutrition. Provide your beloved 4-legged companion with the delicious taste of a home-cooked meal with this Hill's Science Diet Savory Stew with Chicken & Vegetables Dog Food. Packed with real meat, brown rice and vegetables in a savory gravy, this food offers wholesome nutrition with a tasty flavor that your furry friend won't be able to resist. The food promotes healthy digestion and is designed to keep your pup in prime condition.
",$1.63,"<p><b>Guaranteed Analysis:</b>
<br>Crude Protein (min) 4.0%
<br>Crude Fat (min) 2.8%
<br>Crude Fiber (max) 1.5%
<br>Moisture (max) 82.0%
</p>","<p><b>Ingredients:</b><br>
Water, Chicken, Liver, Carrots,Rice Starch, Wheat Flour, Potato Starch, Pork Plasma, Dried Beet Pulp, Brown Rice, Dextrose, Peas, Chicken Liver Flavor, Animal Fat, Flaxseed, Potatoes, Soybean Oil, Calcium Carbonate, Sodium Phosphate, Guar Gum, Titanium Dioxide (color), Potassium Chloride, Choline Chloride, Spinach, Ferrous Sulfate, Zinc Oxide, Copper Proteinate, Manganous Sulfate, Sodium Selenite, Potassium Iodide, Vitamin E Supplement, Vitamin A Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement, Thiamine Mononitrate, Biotin, Riboflavin, Caramel (color), Taurine and L-Lysine
</p>", Hill's Science Diet 
"BLUE Freedom® Adult Dog Food - Grain Free, Natural, Chicken","<p>
<b>Food Type:</b> Wet Food<br>
<b>Life Stage:</b> Adult<br>
<b>Health Consideration:</b> Weight Control<br>
<b>Flavor:</b> Natural Chicken<br>
<b>Primary Ingredient:</b> Chicken<br>
<b>Nutrition Option:</b> Natural, Grain Free<br>
<b>Calories per Serving:</b> 417 calories per can<br>
<b>Package Weight:</b> 12.5 oz<br>
</p>","
Your pooch will come running at dinnertime when this delicious chicken-flavored dog food is on the menu. The food features chicken as the main ingredient to provide a rich, meaty taste, as well as nutritious fruits, vegetables, vitamins and minerals to help enhance your pup's well-being. Make mealtime a special treat for your canine companion by serving this meaty and nutritious BLUE Freedom Chicken Dinner Adult Dog Food. Chicken and chicken liver give the food a mouthwatering flavor that your pooch can't resist, while offering a hearty supply of animal protein. This wholesome meal is rounded out with fruits and vegetables, including carrots, peas, sweet potatoes, blueberries and cranberries, for a balanced, nutrient-rich combination.
",$2.08,"<p><b>Ingredients:</b>
<br>Chicken, Chicken Broth, Chicken Liver, Carrots, Peas, Sweet Potatoes, Guar Gum, Ground Flaxseed (source of Omega-3 and -6 Fatty Acids), Potassium Chloride, Salt, Blueberries, Cranberries, Carrageenan, Cassia Gum, Vitamin A Supplement, Thiamine Mononitrate (Vitamin B), Riboflavin Supplement (Vitamin B2), Biotin (Vitamin B7), Vitamin B12 Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Cobalt Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Potassium Iodide, Choline Chloride and Fish Oil
</p>","<p><b>Directions:</b>
<br>Feed 1/2 for every 10 lbs of body weight per day
</p>", Blue Buffalo 
ORGANIX® Butcher & Bushel Grain Free Adult Dog Food,"<p><b>DESCRIPTION </b></p>,<p><b>Item Number: </b> 5198149<br>
<b>Brand: </b> Castor &amp; Pollux Organix<br>
<b>Food Type: </b> Wet<br>
<b>Breed Size: </b> All<br>
<b>Life Stage: </b> All<br>
<b>Nutritional Option: </b> Organic, No Wheat, No Soy, No Corn<br>
<b>Weight:</b> 12.7 oz<br>
</p>","
",$2.73,"<p><b>Key Benefits </b> </p>,<p><b>Ingredients:</b><br> Organic Chicken, Organic Chicken Broth, Water Sufficient for Processing, Organic Chicken Liver, Organic Pea Protein, Organic Potatoes, Organic Dried Egg Product, Organic Coconut Flour, Organic Blueberries, Organic Flaxseed, Calcium Carbonate, Organic Dried Spinach, Salt, Sodium Phosphate, Organic Alfalfa Meal, Choline Chloride, Potassium Chloride, Organic Guar Gum, Minerals (Zinc Amino Acid Complex, Iron Amino Acid Complex, Copper Amino Acid Complex, Manganese Amino Acid Complex, Sodium Selenite, Calcium Iodate), Vitamins (Vitamin E Supplement, Vitamin A Supplement, Niacin, Thiamine Mononitrate, d-Calcium Pantothenate, Riboflavin Supplement, Vitamin D3 Supplement, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid), Sodium Alginate, Organic Rosemary, Organic Sage, Xanthan Gum<br>
</p>","<p> Americaâs #1 organic dog food brand, Organix, is the only complete line of USDA organically certified dog food. All Organix recipes are made with free-range organic chicken or turkey as the #1 ingredient. There are no chemical pesticides, synthetic fertilizers, artificial preservatives, added growth hormones or antibiotics in Organix, and each recipe is cooked in an organically-certified USA kitchen and features a unique nutrient packed superfood blend.
</p>,<p><b>NUTRITIONAL INFORMATION</b><br>
</p>", Castor & Pollux 
PEDIGREE® Meaty Ground Dinner Adult Dog Food,"<p>
<b>Food Type:</b> Wet Food
<br><b>Food Consistency:</b> Ground
<br><b>Life Stage:</b> Adult
<br><b>Health Consideration:</b> General Health
<br><b>Flavor:</b> Liver &amp; Beef
<br><b>Primary Ingredient:</b> Water
<br><b>Package Weight:</b> 13.2 oz
</p>","
Give your canine companion a delicious meal with this PEDIGREE Meaty Ground Dinner with Chopped Liver and Beef Canned Dog Food. The chopped liver and beef flavor will make your dog's tail wag for more. This food is formulated to meet the nutritional standards established by the AAFCO Dog Food Nutrient Profiles for overall health.
",$0.74,"<p><b>Ingredients:</b><br>
Water, Chicken By-Products, Chicken, Meat By-Products, Liver, Beef, Brewer's Rice, Potassium Chloride, Zinc Sulfate, Copper Sulfate, Potassium Iodide, Vegetable Oil (source of Linoleic Acid), Sodium Tripolyphosphate, Carrageenan, Dried Yam, Added Color, Natural Smoke Flavor, Guar Gum, Xanthan Gum, Vitamin E, A and D3 Supplements, D-Calcium Pantothenate, Thiamine Mononitrate (Vitamin B1), Biotin, Onion Powder, Bay Leaves, Garlic Powder and Sodium Nitrite
</p>","<p><b>Directions:</b>
<br>Feed 1/3-2/3 can per 10 lbs daily
</p>", Pedigree 
BLUE Homestyle Recipe® Chicken & Vegetable Senior Dog Food,"<p>
<b>Food Type:</b> Wet Food<br>
<b>Life Stage:</b> Senior<br>
<b>Health Consideration:</b> General Health<br>
<b>Flavor:</b> Chicken &amp; Garden Vegetable<br>
<b>Primary Ingredient:</b> Chicken<br>
<b>Nutrition Option:</b> Natural<br>
<b>Calories per Serving:</b> 371 calories per can<br>
<b>Package Weight:</b> 12.5 oz<br>
</p>","
Chicken and vegetables combine for a savory taste; blend of vitamins and minerals deliver balanced nutrition Serve your furry, mature friend a delicious meal with this BLUE Homestyle Recipe Senior Chicken Dinner with Garden Vegetables Food for Dogs. Specially formulated with vitamins and minerals, this food is designed to meet your dog's specific needs. The savory chicken and hearty vegetables deliver a blend of mouthwatering flavors.
",$2.00,"<p><b>Ingredients:</b>
<br>Chicken, Chicken Broth, Chicken Liver, Carrots, Peas, ground brown Rice, Ground barley, Oatmeal, Sweet Potatoes, Guar Gum, Potassium Chloride, Carrageenan, Cassia Gum, Cranberries, Flaxseed (source of Omega-3 and -6 Fatty Acids), Salt, Vitamin A Supplemant, Thiamine Monoitrate (Vitamin B1), Riboflavin (Vitamin B2), Biotin (Vitamin B7), Vitamin B12 Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Zinc Amino Acid Chelate, Iton Amino Acid Chelate, Cobalt Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Potassium Iodide, Chloride, Glucosamine Hydrochloride, Chondroitin Sulfate
</p>","<p><b>Directions:</b>
<br>Feed 1/2 for every 10 lbs of body weight per day
</p>", Blue Buffalo 
Blue's Stew® Adult Dog Food,"<p>
<b>Food Type:</b> Wet Food<br>
<b>Food Consistency:</b> Stew<br>
<b>Life Stage:</b> Adult<br>
<b>Health Consideration:</b> General Health<br>
<b>Flavor:</b> Country Chicken Stew<br>
<b>Primary Ingredient:</b> Chicken<br>
<b>Nutrition Option:</b> Natural<br>
<b>Calories per Serving:</b> 408 calories per can<br>
<b>Package Weight:</b> 12.5 oz<br>
</p>","
A delicious, nutritious way to feed your dog like family, with tasty chunks of real meat or poultry, vegetables, and savory gravy that isn't thickened with wheat.
",$2.42,"<p><b>Guaranteed Analysis:</b>
<br>Crude Protein (min) 8%
<br>Crude Fat (min) 5%
<br>Crude Fiber (max) 1%
<br>Moisture (max) 82%
<br>Calcium (min) .25%
<br>Phosphorus (min) .02%
</p>","<p><b>Ingredients:</b>
<br>Chicken, Chicken Broth, Water, Peas, Egg, Potato Starch, Carrots, Guar Gum, Whole Potatoes, Natural Flavor, Salt, Sodium Phosphate, Potassium Chloride, Vitamin A Supplement, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Niacin (Vitamin B3), d-Calcium Pantothenate (Vitamin B5), Pyridoxine Hydrochloride (Vitamin B6), Biotin (Vitamin B7), Folic Acid (Vitamin B9), Vitamin B12 Supplement, Vitamin D3 Supplement, Vitamin E Supplement, Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Calcium Iodate, Choline Chloride
</p>", Blue Buffalo 
BLUE Wilderness® Wolf Creek Stew™Grain Free Beef Adult Dog Food,"<p><b>Features:</b> Grain-free formula contains chunks of beef for a meal that appeals to your meat-loving dog; natural ingredients ensure a wholesome meal; provides the vitamins and minerals your dog needs to thrive<br>
</p>","
Appeal to the meat-loving wolf spirit that lives in your dog with this BLUE Wilderness Wolf Creek Hearty Beef Stew for Dogs that contains chunks of beef for a mouthwatering flavor your canine is sure to love. The food is made with natural ingredients in a grain-free formula and is packed with beneficial vitamins and minerals for a healthy, balanced meal you can serve with confidence.
",$2.50,"<p><b>Guaranteed Analysis:</b><br>Crude Protein (min) 8.5%<br>Crude Fat (min) 3.0%<br>Crude Fiber (max) 1.5%<br>Moisture (max) 82.0%<br>
</p>","<p><b>Food Type:</b> Canned Food<br><b>Food Consistency:</b> Wet Food<br><b>Life Stage:</b> Adult<br><b>Flavor:</b> Beef<br><b>Primary Ingredient:</b> Beef<br><b>Calories per Serving:</b> 930 kcals per kg; 329 kcals per can<br><b>Package Weight:</b> 12.5 oz.<br><br><b>Directions:</b><br>For every 10 lbs. of body weight: 1-1/2 cans daily<br><br><b>Warranty, Awards, Certifications or Expert Recommendations:</b><br> Formulated to meet the nutritional levels established by the AAFCO Dog Food Nutrient Profiles for adult maintenance.<br><br><b>Ingredients:</b><br>Beef, Beef Broth, Water, Chicken Liver, Dried Egg, Chicken, Potatoes, Chicken Meal, Peas, Potato Starch, Guar Gum, Sunflower Oil (Source of Omega-6 Fatty Acids), Sodium Phosphate, Natural Flavor, Salt, Calcium Carbonate, Potassium Chloride, Caramel Color, Choline Chloride, Zinc Amino Acid Chelate, Iron Amino Acid Chelate, Xanthan Gum, Vitamin E Supplement, Copper Amino Acid Chelate, Manganese Amino Acid Chelate, Sodium Selenite, Thiamine Mononitrate (Vitamin B1), Cobalt Amino Acid Chelate, Niacin Supplement (Vitamin B3), Calcium Pantothenate (Vitamin B5), Vitamin A Supplement, Riboflavin Supplement (Vitamin B2), Biotin (Vitamin B7), Vitamin B12 Supplement, Potassium Iodide, Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement and Folic Acid (Vitamin B9)<br><br></p>", Blue Buffalo 
